[INFO] [1781617343.087341651] [navigation_fusion]: Navigation fusion node initialized
[INFO] [1781617343.087377248] [navigation_fusion]: GNSS timeout: 2.0 sec, Min satellites: 8
[WARN] [1781617343.107414170] [navigation_fusion]: GNSS lost! Switching to odometry mode (time: 0.0 sec)
[INFO] [1781617513.487422676] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 85.15 m | Time: 170.4 sec
[INFO] [1781617518.487432931] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 87.65 m | Time: 175.4 sec
[INFO] [1781617523.507432260] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 90.16 m | Time: 180.4 sec
[INFO] [1781617528.507433591] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 92.66 m | Time: 185.4 sec
[INFO] [1781617533.507434035] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 95.16 m | Time: 190.4 sec
[INFO] [1781617538.527424616] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 97.67 m | Time: 195.4 sec
[INFO] [1781617543.527434289] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 100.17 m | Time: 200.4 sec
[INFO] [1781617548.547430801] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 102.68 m | Time: 205.5 sec
[INFO] [1781617553.547461181] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 105.18 m | Time: 210.5 sec
[INFO] [1781617558.567430700] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 107.69 m | Time: 215.5 sec
[INFO] [1781617563.567435305] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 110.19 m | Time: 220.5 sec
[INFO] [1781617568.587431998] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 112.70 m | Time: 225.5 sec
[INFO] [1781617573.607430395] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 115.21 m | Time: 230.5 sec
[INFO] [1781617578.607435760] [navigation_fusion]: Mode: Odometry (GNSS lost) | GNSS: 0.0% | Sats: 0 | Drift: 117.71 m | Time: 235.5 sec
