[INFO] [1781619353.302994626] [gkv2_nav_parser]: Loaded 30 parameter IDs from config
[INFO] [1781619353.305911254] [gkv2_nav_parser]: UART opened: /dev/ttyV1 @ 921600 baud
[INFO] [1781619353.305965656] [gkv2_nav_parser]: GKV2 Nav Parser initialized
[INFO] [1781619353.305974983] [gkv2_nav_parser]: Expected packet size: 128 bytes (header 4 + data 120 + CRC 4)
[INFO] [1781619371.154069755] [gkv2_nav_parser]: Packets: 2200 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781619371.656610568] [gkv2_nav_parser]: Packets: 2300 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781619372.159004805] [gkv2_nav_parser]: Packets: 2400 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781619372.661318151] [gkv2_nav_parser]: Packets: 2500 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781619373.163949173] [gkv2_nav_parser]: Packets: 2600 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781619373.666403994] [gkv2_nav_parser]: Packets: 2700 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781619374.168717499] [gkv2_nav_parser]: Packets: 2800 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781619374.671093301] [gkv2_nav_parser]: Packets: 2900 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781619375.173481486] [gkv2_nav_parser]: Packets: 3000 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781619375.675922641] [gkv2_nav_parser]: Packets: 3100 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781619376.178278875] [gkv2_nav_parser]: Packets: 3200 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
