[INFO] [1781550878.914746371] [gkv2_driver]: GKV2 Driver Node initialized with Boost.Asio.
[INFO] [1781550878.916001501] [gkv2_driver]: UART port /dev/ttyV0 opened at 921600 baud.
[INFO] [1781550887.189082479] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.209173021] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.229243516] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.249322176] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.269428348] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.289508350] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.309586249] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.329658797] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.349733579] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.369810576] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.389902140] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.409977665] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.430050854] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.450124515] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.470225026] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.490302653] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.510383678] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.530466967] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.550539645] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.570610971] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.590684782] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.610758503] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.630833706] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.650905544] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.670985015] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.691050160] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.711125232] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.731200015] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.751274798] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.771362364] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.791437037] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.811509445] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.831584077] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.851653951] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.871738081] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.891812062] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.911890953] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.931967007] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.952039877] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.972120510] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550887.992192698] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.012268322] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.032341883] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.052421304] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.072496828] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.092570048] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.112648758] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.132722829] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.152793755] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.172868237] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.192938621] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.213016309] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.233089138] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.253158210] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.273243412] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.293316361] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.313401454] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.333482608] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.353562831] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.373643325] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.393722685] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.413796276] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.433890776] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.453963965] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.474037005] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.494106778] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.514187963] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.534272193] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.554362976] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.574416398] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.594494598] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.614571424] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.634666314] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.654742911] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.674821150] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
[INFO] [1781550888.694901693] [gkv2_driver]: Valid CMD_BUD packet! Left: 50%, Right: 75%, Flags: 0x04
