[INFO] [1781617343.082343804] [gkv2_nav_parser]: Loaded 30 parameter IDs from config
[INFO] [1781617343.084711341] [gkv2_nav_parser]: UART opened: /dev/ttyV1 @ 921600 baud
[INFO] [1781617343.084771163] [gkv2_nav_parser]: GKV2 Nav Parser initialized
[INFO] [1781617343.084781793] [gkv2_nav_parser]: Expected packet size: 128 bytes (header 4 + data 120 + CRC 4)
[INFO] [1781617343.084862214] [gkv2_nav_parser]: Packets: 0 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[WARN] [1781617343.086816765] [gkv2_nav_parser]: New subscription discovered on topic '/nav/pose', requesting incompatible QoS. No messages will be sent to it. Last incompatible policy: RELIABILITY_QOS_POLICY
[WARN] [1781617343.087096120] [gkv2_nav_parser]: New subscription discovered on topic '/gkv2/status', requesting incompatible QoS. No messages will be sent to it. Last incompatible policy: RELIABILITY_QOS_POLICY
[INFO] [1781617346.807108741] [gkv2_nav_parser]: Packets: 100 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617347.309884810] [gkv2_nav_parser]: Packets: 200 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617347.813850946] [gkv2_nav_parser]: Packets: 300 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617348.316479721] [gkv2_nav_parser]: Packets: 400 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617348.818992431] [gkv2_nav_parser]: Packets: 500 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617349.321410022] [gkv2_nav_parser]: Packets: 600 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617349.823815884] [gkv2_nav_parser]: Packets: 700 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617350.326185488] [gkv2_nav_parser]: Packets: 800 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617350.828507554] [gkv2_nav_parser]: Packets: 900 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617351.330864527] [gkv2_nav_parser]: Packets: 1000 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617351.833278428] [gkv2_nav_parser]: Packets: 1100 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617352.335681491] [gkv2_nav_parser]: Packets: 1200 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617352.838113239] [gkv2_nav_parser]: Packets: 1300 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617353.340509431] [gkv2_nav_parser]: Packets: 1400 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617353.842968559] [gkv2_nav_parser]: Packets: 1500 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617354.345356660] [gkv2_nav_parser]: Packets: 1600 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617354.847821548] [gkv2_nav_parser]: Packets: 1700 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617355.350150408] [gkv2_nav_parser]: Packets: 1800 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617355.852465804] [gkv2_nav_parser]: Packets: 1900 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617356.354792897] [gkv2_nav_parser]: Packets: 2000 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617356.857182907] [gkv2_nav_parser]: Packets: 2100 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617357.359502147] [gkv2_nav_parser]: Packets: 2200 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617357.861797680] [gkv2_nav_parser]: Packets: 2300 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617358.364223333] [gkv2_nav_parser]: Packets: 2400 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617358.866662223] [gkv2_nav_parser]: Packets: 2500 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617359.369036520] [gkv2_nav_parser]: Packets: 2600 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617359.871575288] [gkv2_nav_parser]: Packets: 2700 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617360.373752807] [gkv2_nav_parser]: Packets: 2800 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617360.876439926] [gkv2_nav_parser]: Packets: 2900 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617361.378916324] [gkv2_nav_parser]: Packets: 3000 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617361.881253980] [gkv2_nav_parser]: Packets: 3100 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617362.383389448] [gkv2_nav_parser]: Packets: 3200 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617362.885759637] [gkv2_nav_parser]: Packets: 3300 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617363.388210531] [gkv2_nav_parser]: Packets: 3400 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617363.890619724] [gkv2_nav_parser]: Packets: 3500 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617364.393071602] [gkv2_nav_parser]: Packets: 3600 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
[INFO] [1781617364.895447496] [gkv2_nav_parser]: Packets: 3700 | CRC errors: 0 | Pos(10.00,5.00,0.00) | Yaw:1.57 | Sats:15 | RTK:FIXED | CoordsValid:Y | Stage:50 | Fails:0x0000 | DualAnt:N
